,statistics,pos,time,valor
0,accurateCrosses,1,Palmeiras,225
1,accurateCrosses,2,Vasco da Gama,224
2,accurateCrosses,3,América Mineiro,207
3,accurateCrosses,4,Botafogo,193
4,accurateCrosses,5,Red Bull Bragantino,187
5,accurateCrosses,6,Fortaleza,186
6,accurateCrosses,7,Goiás,186
7,accurateCrosses,8,Athletico,181
8,accurateCrosses,9,Cruzeiro,178
9,accurateCrosses,10,Santos,168
10,accurateCrosses,11,Bahia,168
11,accurateCrosses,12,São Paulo,165
12,accurateCrosses,13,Cuiabá,159
13,accurateCrosses,14,Coritiba,155
14,accurateCrosses,15,Fluminense,152
15,accurateCrosses,16,Corinthians,151
16,accurateCrosses,17,Flamengo,133
17,accurateCrosses,18,Atlético Mineiro,132
18,accurateCrosses,19,Grêmio,132
19,accurateCrosses,20,Internacional,128
20,accurateLongBalls,1,Palmeiras,1086
21,accurateLongBalls,2,São Paulo,981
22,accurateLongBalls,3,Cruzeiro,900
23,accurateLongBalls,4,Botafogo,862
24,accurateLongBalls,5,Athletico,850
25,accurateLongBalls,6,Red Bull Bragantino,839
26,accurateLongBalls,7,Atlético Mineiro,809
27,accurateLongBalls,8,Flamengo,800
28,accurateLongBalls,9,Corinthians,793
29,accurateLongBalls,10,Goiás,752
30,accurateLongBalls,11,Vasco da Gama,751
31,accurateLongBalls,12,Fortaleza,743
32,accurateLongBalls,13,Cuiabá,732
33,accurateLongBalls,14,Bahia,683
34,accurateLongBalls,15,Fluminense,679
35,accurateLongBalls,16,América Mineiro,647
36,accurateLongBalls,17,Coritiba,639
37,accurateLongBalls,18,Internacional,635
38,accurateLongBalls,19,Santos,604
39,accurateLongBalls,20,Grêmio,545
40,accuratePasses,1,Fluminense,18499
41,accuratePasses,2,Flamengo,17335
42,accuratePasses,3,São Paulo,17214
43,accuratePasses,4,Internacional,14704
44,accuratePasses,5,Atlético Mineiro,14668
45,accuratePasses,6,Corinthians,14538
46,accuratePasses,7,Palmeiras,13524
47,accuratePasses,8,Red Bull Bragantino,13519
48,accuratePasses,9,Cruzeiro,13276
49,accuratePasses,10,Bahia,12913
50,accuratePasses,11,Botafogo,12897
51,accuratePasses,12,Vasco da Gama,12706
52,accuratePasses,13,Grêmio,12420
53,accuratePasses,14,Athletico,12214
54,accuratePasses,15,Fortaleza,11811
55,accuratePasses,16,Cuiabá,11646
56,accuratePasses,17,Goiás,11158
57,accuratePasses,18,Coritiba,10831
58,accuratePasses,19,Santos,10806
59,accuratePasses,20,América Mineiro,10546
60,averageBallPossession,1,Fluminense,61.76
61,averageBallPossession,2,São Paulo,59.79
62,averageBallPossession,3,Flamengo,57.74
63,averageBallPossession,4,Red Bull Bragantino,56.95
64,averageBallPossession,5,Atlético Mineiro,52.84
65,averageBallPossession,6,Palmeiras,52.68
66,averageBallPossession,7,Internacional,51.63
67,averageBallPossession,8,Cruzeiro,51.47
68,averageBallPossession,9,Bahia,49.82
69,averageBallPossession,10,Vasco da Gama,48.61
70,averageBallPossession,11,Corinthians,48.58
71,averageBallPossession,12,Athletico,48.42
72,averageBallPossession,13,Botafogo,48.05
73,averageBallPossession,14,Grêmio,46.39
